id,policy,type
P1,Country adopted 2015 WHO guidelines recommendations on HIV testing services,law
P2,Country has a national policy on HIV self-testing,law
P3,Law specifying HIV testing solely performed based on voluntary and informed consent,law
P4,Law specifying HIV testing is mandatory before marriage,law
P5,Law specifying HIV testing is mandatory to obtain a work or residence permit,law
P6,Law specifying HIV testing is mandatory for certain groups: National authorities,law
P7,Law specifying HIV testing is mandatory for certain groups: Civil society,law
P8,Criminalization of vertical transmission of HIV,law
P9,Policies requiring healthcare settings to provide timely and quality healthcare regardless of any grounds for national authorities,law
P10,Policies requiring healthcare settings to provide timely and quality healthcare regardless of any grounds for the civil society,law
P11,Interventions targeting healthcare workers on human rights and gender-based violence,law
P12,"Laws criminalizing transmission of, non-disclosure of or exposure to HIV transmission",law
P13,"Laws restricting entry, stay and residence of people living with HIV",law
P14,Laws requiring parental consent for adolescents to access sexual and reproductive health services,law
P15,Laws requiring parental consent for adolescents to access HIV testing,law
P16,Laws requiring parental consent for adolescents to access HIV treatment,law
P17,Laws requiring spousal consent for married women to access sexual and reproductive health services,law
P18,Laws requiring spousal consent for married women to access HIV testing,law
P19,Health facilities delivering integrated services: HIV counselling and testing with SRH,law
P20,Health facilities delivering integrated services: HIV treatment and care with SRH,law
P21,Health facilities delivering integrated services: HIV counselling and testing with TB services,law
P22,Health facilities delivering integrated services: TB screening in HIV services,law
P23,Health facilities delivering integrated services: ART and TB treatment,law
P24,Health facilities delivering integrated services: HIV and hepatitis C treatment,law
P25,Health facilities delivering integrated services: HIV counselling and testing and chronic NCDs,law
P26,Health facilities delivering integrated services: ART and chronic NCDs,law
P27,Health facilities delivering integrated services: HIV counselling and testing and general outpatient care,law
P28,Health facilities delivering integrated services: ART and general outpatient care,law
P29,Health facilities delivering integrated services: Violence screening and mitigation with HIV services,law
P30,Health facilities delivering integrated services: HIV testing and counselling with cervical cancer screening and treatment,law
P31,Health facilities delivering integrated services: Cervical cancer screening with HIV services,law
P32,Health facilities delivering integrated services: PMTCT with antenatal care / maternal and child health,law
P33,Health facilities delivering integrated services: HIV treatment and care with nutrition support,law
P34,Health facilities delivering integrated services: HIV testing with child health services,law
P35,Health facilities delivering integrated services: HIV treatment and care with child health services,law
P36,Health facilities delivering integrated services: HIV and harm reduction services,law
P37,National strategy/policy guiding AIDS response,law
P38,National HIV strategy/policy reviewed in last 2 years,law
P39,National AIDS strategy/policy includes gender-transformative interventions,law
P40,National AIDS strategy/policy includes dedicated budget for gender transformative interventions,law
P41,Deaths must be reported using a standard death report form that includes cause of death,law
P42,Individual-level data on reported deaths can be reported directly to the country's national HIV case reporting system,law
P43,Individual-level data on reported deaths can be linked to the country's national HIV case reporting system,law
P44,Country adapted 2018 WHO consolidated guidelines on ARV use for treating and preventing HIV infection,law
P45,Country adopted WHO 2017 recommendation on rapid initiation on ART,law
P46,Possible to start ART on the same day as HIV diagnosis,law
P47,Country adopted WHO 2017 recommendation to offer interventions for advanced HIV disease,law
P48,Implementation status of recommended interventions for advanced HIV disease,law
P49,Country has a policy on retesting HIV-negative women during pregnancy/delivery and/or the post-partum/breastfeeding period,law
P50,"Laws requiring parental consent for adolescents to access contraceptives, including condoms",law
P51,Process exists to deem adolescents mature to access contraceptives without parental consent,law
P52,Process exists to deem adolescents mature to access HIV testing without parental consent,law
P53,Process exists to deem adolescents mature to access HIV treatment without parental consent,law
P54,Percentage of clients with access to CD4 testing for immunological staging,law
P55,National guidelines recommend ART for All people living with HIV with active TB,treatment
P56,National guidelines recommend ART for All people living with HIV with hepatitis B and severe liver disease,treatment
P57,National guidelines recommend ART for The HIV-positive partner in serodiscordant couples,treatment
P58,National guidelines recommend ART for All people living with HIV identified as being in key populations,treatment
P59,Nurse-initiated ART allowed for Non-pregnant adults,treatment
P60,Nurse-initiated ART allowed for Pregnant women,treatment
P61,Nurse-initiated ART allowed for Adolescents (10-19 years old),treatment
P62,Nurse-initiated ART allowed for Children younger than 10 years old,treatment
P63,Nurse-initiated ART allowed for None of the above,treatment
P64,ART provided in TB clinics,treatment
P65,ART providers provide TB treatment in ART settings,treatment
P66,MNCH services providers provide ART in MNCH clinics,treatment
P67,"Nutrition assessment, counselling and support to malnourished people living with HIV",treatment
P68,ART in settings providing OST,treatment
P69,ART provided in primary health care settings,treatment
P70,Patient support,treatment
P71,ART delivered in the community,treatment
P72,Cardiovascular disease screening/management by ART providers,treatment
P73,Mental health screening/treatment by ART providers,treatment
