region,year,min,nominal,max
GLOBAL,1993,1900000.0,2500000.0,3400000.0
GLOBAL,1995,2000000.0,2700000.0,3700000.0
GLOBAL,2002,1900000.0,2600000.0,3500000.0
GLOBAL,2004,1800000.0,2400000.0,3300000.0
GLOBAL,2009,1600000.0,2200000.0,3000000.0
GLOBAL,2011,1500000.0,2100000.0,2800000.0
GLOBAL,2018,1200000.0,1700000.0,2300000.0
,1990,1100000.0,1400000.0,2000000.0
,1997,1500000.0,2000000.0,2700000.0
,1999,1500000.0,2000000.0,2700000.0
,2004,1300000.0,1800000.0,2400000.0
,2006,1300000.0,1700000.0,2300000.0
,2013,970000.0,1300000.0,1800000.0
,2015,880000.0,1200000.0,1600000.0
,1992,110000.0,160000.0,230000.0
,1994,110000.0,170000.0,240000.0
,1999,120000.0,190000.0,260000.0
,2001,120000.0,190000.0,260000.0
,2008,110000.0,170000.0,230000.0
,2010,110000.0,160000.0,230000.0
,2017,110000.0,170000.0,240000.0
,2019,110000.0,170000.0,240000.0
,1994,5800.0,7800.0,12000.0
,1996,8500.0,11000.0,17000.0
,2003,13000.0,17000.0,26000.0
,2005,20000.0,26000.0,40000.0
,2012,24000.0,32000.0,48000.0
,2014,26000.0,34000.0,52000.0
,2019,33000.0,44000.0,67000.0
,1991,36000.0,44000.0,54000.0
,1998,69000.0,83000.0,100000.0
,2000,78000.0,95000.0,120000.0
,2007,98000.0,120000.0,150000.0
,2009,100000.0,130000.0,150000.0
,2014,130000.0,160000.0,190000.0
,2016,140000.0,170000.0,210000.0
,1993,290000.0,400000.0,530000.0
,1995,270000.0,380000.0,490000.0
,2002,210000.0,290000.0,380000.0
,2004,160000.0,230000.0,300000.0
,2009,150000.0,220000.0,280000.0
,2011,150000.0,210000.0,280000.0
,2013,150000.0,210000.0,280000.0
,2018,120000.0,170000.0,220000.0
,1990,14000.0,23000.0,31000.0
,1997,74000.0,120000.0,160000.0
,1999,79000.0,130000.0,170000.0
,2004,81000.0,130000.0,170000.0
,2006,76000.0,120000.0,160000.0
,2008,71000.0,110000.0,150000.0
,2013,68000.0,110000.0,140000.0
,2015,69000.0,110000.0,150000.0
AFG,2000,,,660.0
DZA,2000,,,
BHS,2000,,,
BGD,2000,,,
BOL,2000,1200.0,1800.0,2600.0
BWA,2000,23000.0,26000.0,28000.0
BDI,2000,6900.0,8200.0,9800.0
CMR,2000,50000.0,58000.0,69000.0
COL,2000,8500.0,11000.0,15000.0
COG,2000,5600.0,6500.0,7400.0
PRK,2000,,,
DNK,2000,,,
SLV,2000,2200.0,2500.0,2900.0
ERI,2000,1000.0,1400.0,2000.0
GAB,2000,2600.0,3700.0,5000.0
GEO,2000,,,
GUY,2000,520.0,670.0,860.0
HND,2000,1700.0,2300.0,2900.0
IRN,2000,2100.0,4400.0,7400.0
ISR,2000,,,
KWT,2000,,,
LAO,2000,530.0,590.0,660.0
LUX,2000,,,
MWI,2000,80000.0,87000.0,93000.0
MRT,2000,,,
MEX,2000,,,
NPL,2000,4200.0,4600.0,5100.0
NZL,2000,,,
PAK,2000,,,
PNG,2000,2800.0,3300.0,3800.0
PRT,2000,,,
KOR,2000,,,
SRB,2000,,,
SGP,2000,,,
LKA,2000,,,510.0
SUR,2000,,,550.0
THA,2000,36000.0,41000.0,45000.0
TGO,2000,9000.0,12000.0,14000.0
TUN,2000,,,
ARE,2000,,,
TZA,2000,110000.0,120000.0,130000.0
ZMB,2000,61000.0,72000.0,86000.0
AFG,2001,,,820.0
ARM,2001,,,550.0
AUT,2001,,,
BHS,2001,,,
BEL,2001,,,
BEN,2001,2900.0,6100.0,12000.0
BGR,2001,,,
BDI,2001,6200.0,7400.0,8900.0
CAF,2001,11000.0,13000.0,15000.0
CHL,2001,2000.0,2300.0,2600.0
COL,2001,8500.0,11000.0,14000.0
HRV,2001,,,
CYP,2001,,,
ECU,2001,2000.0,2900.0,5000.0
SLV,2001,2300.0,2600.0,2900.0
FIN,2001,,,
GAB,2001,2700.0,3600.0,4700.0
GRC,2001,,,
GIN,2001,7900.0,9800.0,12000.0
IND,2001,,,
IRN,2001,2900.0,5000.0,8300.0
KAZ,2001,660.0,750.0,890.0
KWT,2001,,,
LSO,2001,28000.0,32000.0,36000.0
LBY,2001,,,
MLI,2001,,,
MRT,2001,,,
MMR,2001,24000.0,26000.0,29000.0
NPL,2001,4000.0,4400.0,4800.0
NGA,2001,74000.0,120000.0,210000.0
NOR,2001,,,
PHL,2001,,,
PRT,2001,,,
SAU,2001,,,
SRB,2001,,,
SOM,2001,1800.0,2200.0,2500.0
SSD,2001,9500.0,13000.0,18000.0
SYR,2001,,,
THA,2001,33000.0,37000.0,41000.0
UGA,2001,86000.0,97000.0,110000.0
ARE,2001,,,
UZB,2001,910.0,950.0,1100.0
VNM,2001,22000.0,25000.0,27000.0
AGO,2002,15000.0,18000.0,22000.0
ARM,2002,,,570.0
BRB,2002,,,
BEL,2002,,,
BIH,2002,,,
BRA,2002,23000.0,49000.0,71000.0
CAN,2002,,,
CAF,2002,10000.0,12000.0,14000.0
CRI,2002,,510.0,660.0
HRV,2002,,,
COD,2002,40000.0,48000.0,56000.0
DJI,2002,580.0,990.0,2000.0
EST,2002,,,
ETH,2002,27000.0,49000.0,86000.0
DEU,2002,,,
GRC,2002,,,
HTI,2002,11000.0,12000.0,13000.0
HUN,2002,,,
IND,2002,,,
ITA,2002,4200.0,6200.0,9800.0
JPN,2002,,,
LVA,2002,,,
LSO,2002,26000.0,29000.0,33000.0
MDG,2002,,550.0,770.0
MYS,2002,5200.0,6000.0,6800.0
MLI,2002,,,
MNG,2002,,,
MAR,2002,1000.0,1400.0,1800.0
NIC,2002,540.0,770.0,1300.0
NGA,2002,73000.0,120000.0,210000.0
PRY,2002,1500.0,2200.0,3400.0
PHL,2002,,,570.0
MDA,2002,810.0,1100.0,1500.0
RUS,2002,,,
SVK,2002,,,
SOM,2002,1800.0,2100.0,2300.0
SWE,2002,,,
SYR,2002,,,
TTO,2002,900.0,1000.0,1200.0
TUR,2002,,,
USA,2002,33000.0,40000.0,47000.0
UZB,2002,1100.0,1100.0,1300.0
ALB,2003,,,
