Country,National guidelines recommend ART for All people living with HIV with active TB,National guidelines recommend ART for All people living with HIV with hepatitis B and severe liver disease,National guidelines recommend ART for The HIV-positive partner in serodiscordant couples,National guidelines recommend ART for All people living with HIV identified as being in key populations,Nurse-initiated ART allowed for Non-pregnant adults,Nurse-initiated ART allowed for Pregnant women,Nurse-initiated ART allowed for Adolescents (10-19 years old),Nurse-initiated ART allowed for Children younger than 10 years old,Nurse-initiated ART allowed for None of the above,ART provided in TB clinics,ART providers provide TB treatment in ART settings,MNCH services providers provide ART in MNCH clinics,"Nutrition assessment, counselling and support to malnourished people living with HIV",ART in settings providing OST,ART provided in primary health care settings,Patient support,ART delivered in the community,Cardiovascular disease screening/management by ART providers,Mental health screening/treatment by ART providers,Country has a national policy/ strategy on linking HIV testing and counselling and enrolment in care,Country adapted 2016 WHO consolidated guidelines recommendations: adult antiretroviral therapy,Country adapted 2016 WHO consolidated guidelines recommendations: PMTCT,Country adapted 2016 WHO consolidated guidelines recommendations: pediatric antiretroviral therapy,Country adapted 2016 WHO consolidated guidelines recommendations: operational/service delivery,Recommended ART CD4 initiation threshold in adults and adolescents,Implementation status of recommended ART CD4 initiation threshold,Planned adoption of treat all recommendation (countries where not already adopted),Planned year for adoption of treat all recommendation (countries where not already adopted),Point-of-care CD4 technology used,Percentage of primary healthcare facilitates with access to CD4 cell count testing (nearby or referral),Policy promoting community ART delivery,ART provided in community settings for people stable on ART,Implementation of ART provision in community settings for people stable on ART,Policy on prioritization of people with advanced HIV disease,Policy on frequency of clinic visits for people stable on ART,Frequency of clinic visits for people stable on ART in policy,Policy on frequency of ART pick-up for people stable on ART,Frequency of ART pick-up for people stable on ART in policy,Country has a national plan for eliminating HIV MTCT,Recommended PMTCT regimen,Recommended first-line ART regimen for pregnant and breastfeeding women living with HIV,Health facilities delivering integrated services: HIV counselling and testing with SRH,Health facilities delivering integrated services: HIV treatment and care with SRH,Health facilities delivering integrated services: HIV counselling and testing with TB services,Health facilities delivering integrated services: TB screening in HIV services,Health facilities delivering integrated services: ART and TB treatment,Health facilities delivering integrated services: HIV and hepatitis C treatment,Health facilities delivering integrated services: HIV counselling and testing and chronic NCDs,Health facilities delivering integrated services: ART and chronic NCDs,Health facilities delivering integrated services: HIV counselling and testing and general outpatient care,Health facilities delivering integrated services: ART and general outpatient care,Health facilities delivering integrated services: Violence screening and mitigation with HIV services,Health facilities delivering integrated services: HIV testing and counselling with cervical cancer screening and treatment,Health facilities delivering integrated services: Cervical cancer screening with HIV services,Health facilities delivering integrated services: PMTCT with antenatal care / maternal and child health,Health facilities delivering integrated services: HIV treatment and care with nutrition support,Health facilities delivering integrated services: HIV testing with child health services,Health facilities delivering integrated services: HIV treatment and care with child health services,Health facilities delivering integrated services: HIV and harm reduction services,Country adapted 2018 WHO consolidated guidelines on ARV use for treating and preventing HIV infection,Country adopted WHO 2017 recommendation on rapid initiation on ART,Possible to start ART on the same day as HIV diagnosis,Country adopted WHO 2017 recommendation to offer interventions for advanced HIV disease,Implementation status of recommended interventions for advanced HIV disease,Implementation status of same day start of ART,Availability of CD4 testing for immunological staging,Percentage of clients with access to CD4 testing for immunological staging
Afghanistan,Yes [WHO Policy Data 2017],Yes [WHO Policy Data 2017],Yes [WHO Policy Data 2017],Yes [WHO Policy Data 2017],,,,,Yes [WHO Policy Data 2020],,Yes [WHO Policy Data 2020],,Yes [WHO Policy Data 2020],Yes [WHO Policy Data 2020],,Yes [WHO Policy Data 2020],,,,No [WHO Policy Data 2020],"Yes, completed [WHO Policy Data 2018]","Yes, completed [WHO Policy Data 2017]","Yes, completed [WHO Policy Data 2017]","Yes, completed [WHO Policy Data 2017]",No threshold; treat all regardless of CD4 count [WHO Policy Data 2020],Implemented countrywide (>95% of treatment sites) [WHO Policy Data 2020],Yes [WHO Policy Data 2019],Recommending treat all in 2019 [WHO Policy Data 2019],Yes [WHO Policy Data 2019],100 [WHO Policy Data 2019],No [WHO Policy Data 2020],No [WHO Policy Data 2020],,No [WHO Policy Data 2019],Yes [WHO Policy Data 2020],Every 3 months [WHO Policy Data 2020],Yes [WHO Policy Data 2020],Every 3 months [WHO Policy Data 2020],Yes [WHO Policy Data 2020],Treat all pregnant women and/or breastfeeding women for life [WHO Policy Data 2020],TDF/3TC(FTC)/EFV [WHO Policy Data 2020],Fully integrated in all health facilities [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Fully integrated in all health facilities [UNAIDS National Commitments and Policy Instrument 2019],Fully integrated in all health facilities [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Fully integrated in all health facilities [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],"Yes, completed [WHO Policy Data 2020]","Yes, rapid initiation within 7 days of HIV diagnosis [WHO Policy Data 2020]",Yes [WHO Policy Data 2020],"Yes, fully adopted [WHO Policy Data 2020]",Implemented countrywide (>95% of treatment sites) [WHO Policy Data 2020],Implemented countrywide (>95% of treatment sites) [WHO Policy Data 2020],Yes [WHO Policy Data 2020],Countrywide (>95% of sites) [WHO Policy Data 2020]
Albania,Yes [WHO Policy Data 2017],Yes [WHO Policy Data 2017],Yes [WHO Policy Data 2017],,,,,,Yes [WHO Policy Data 2020],,Yes [WHO Policy Data 2020],,,,,,,,,Yes [WHO Policy Data 2020],On-going [WHO Policy Data 2018],On-going [WHO Policy Data 2017],On-going [WHO Policy Data 2017],On-going [WHO Policy Data 2017],No threshold; treat all regardless of CD4 count [WHO Policy Data 2020],Implemented countrywide (>95% of treatment sites) [WHO Policy Data 2020],Yes [WHO Policy Data 2019],Recommending treat all in 2019 [WHO Policy Data 2019],Yes [WHO Policy Data 2019],,No [WHO Policy Data 2020],No [WHO Policy Data 2020],,Yes [WHO Policy Data 2019],Yes [WHO Policy Data 2020],Once a month [WHO Policy Data 2020],Yes [WHO Policy Data 2020],Every 3 months [WHO Policy Data 2020],Yes [WHO Policy Data 2020],Treat all pregnant women and/or breastfeeding women for life [WHO Policy Data 2020],TDF/3TC(FTC)/EFV [WHO Policy Data 2020],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Fully integrated in all health facilities [UNAIDS National Commitments and Policy Instrument 2019],Fully integrated in all health facilities [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],"Yes, completed [WHO Policy Data 2020]","Yes, rapid initiation within 7 days of HIV diagnosis [WHO Policy Data 2020]",,"Yes, fully adopted [WHO Policy Data 2020]",Implemented countrywide (>95% of treatment sites) [WHO Policy Data 2020],,Yes [WHO Policy Data 2020],Other [WHO Policy Data 2020]
Algeria,Yes [WHO Policy Data 2017],Yes [WHO Policy Data 2017],Yes [WHO Policy Data 2017],Yes [WHO Policy Data 2017],,,,,Yes [WHO Policy Data 2017],,Yes [WHO Policy Data 2018],,Yes [WHO Policy Data 2018],,,Yes [WHO Policy Data 2018],,Yes [WHO Policy Data 2018],Yes [WHO Policy Data 2018],Yes [WHO Policy Data 2017],"Yes, completed [WHO Policy Data 2018]","Yes, completed [WHO Policy Data 2017]","Yes, completed [WHO Policy Data 2017]","Yes, completed [WHO Policy Data 2017]",No threshold; treat all regardless of CD4 count [WHO Policy Data 2019],Implemented countrywide (>95% of treatment sites) [WHO Policy Data 2019],,,Yes [WHO Policy Data 2017],100 [WHO Policy Data 2017],No [WHO Policy Data 2018],No [WHO Policy Data 2018],,Yes [WHO Policy Data 2017],Yes [WHO Policy Data 2017],Every 3 months [WHO Policy Data 2017],Yes [WHO Policy Data 2018],Every 3 months [WHO Policy Data 2018],Yes [WHO Policy Data 2017],Treat all pregnant women and/or breastfeeding women for life [WHO Policy Data 2019],Other [WHO Policy Data 2017],Fully integrated in all health facilities [UNAIDS National Commitments and Policy Instrument 2017],Delivered separately [UNAIDS National Commitments and Policy Instrument 2017],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2017],Fully integrated in all health facilities [UNAIDS National Commitments and Policy Instrument 2017],Fully integrated in all health facilities [UNAIDS National Commitments and Policy Instrument 2017],Fully integrated in all health facilities [UNAIDS National Commitments and Policy Instrument 2017],Delivered separately [UNAIDS National Commitments and Policy Instrument 2017],Delivered separately [UNAIDS National Commitments and Policy Instrument 2017],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2017],Delivered separately [UNAIDS National Commitments and Policy Instrument 2017],Delivered separately [UNAIDS National Commitments and Policy Instrument 2017],Delivered separately [UNAIDS National Commitments and Policy Instrument 2017],Fully integrated in all health facilities [UNAIDS National Commitments and Policy Instrument 2017],Fully integrated in all health facilities [UNAIDS National Commitments and Policy Instrument 2017],Fully integrated in all health facilities [UNAIDS National Commitments and Policy Instrument 2017],Fully integrated in all health facilities [UNAIDS National Commitments and Policy Instrument 2017],Fully integrated in all health facilities [UNAIDS National Commitments and Policy Instrument 2017],Delivered separately [UNAIDS National Commitments and Policy Instrument 2017],,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,Yes [WHO Policy Data 2020],Yes [WHO Policy Data 2020],Yes [WHO Policy Data 2020],,,Yes [WHO Policy Data 2020],Yes [WHO Policy Data 2020],Yes [WHO Policy Data 2020],,Yes [WHO Policy Data 2020],Yes [WHO Policy Data 2020],Yes [WHO Policy Data 2019],,,,Yes [WHO Policy Data 2020],,,,,No threshold; treat all regardless of CD4 count [WHO Policy Data 2020],Implemented in many (50%‒95%) treatment sites [WHO Policy Data 2020],Yes [WHO Policy Data 2019],Recommending treat all in 2022 [WHO Policy Data 2019],Yes [WHO Policy Data 2019],100 [WHO Policy Data 2019],No [WHO Policy Data 2020],No [WHO Policy Data 2020],,Yes [WHO Policy Data 2019],Yes [WHO Policy Data 2020],Every 6 months [WHO Policy Data 2020],Yes [WHO Policy Data 2020],Every 6 months [WHO Policy Data 2020],Yes [WHO Policy Data 2020],Treat all pregnant women and/or breastfeeding women for life [WHO Policy Data 2020],TDF/3TC(FTC)/EFV [WHO Policy Data 2020],Fully integrated in all health facilities [UNAIDS National Commitments and Policy Instrument 2019],Fully integrated in all health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Fully integrated in all health facilities [UNAIDS National Commitments and Policy Instrument 2019],Fully integrated in all health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Fully integrated in all health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Fully integrated in all health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],On-going [WHO Policy Data 2020],"Yes, rapid initiation within 7 days of HIV diagnosis [WHO Policy Data 2020]",Yes [WHO Policy Data 2020],"Yes, fully adopted [WHO Policy Data 2020]",Implemented in many (50%‒95%) treatment sites [WHO Policy Data 2020],Implemented in many (50%‒95%) treatment sites [WHO Policy Data 2020],Yes [WHO Policy Data 2020],In few (<50%) sites [WHO Policy Data 2020]
Antigua and Barbuda,Yes [WHO Policy Data 2017],Yes [WHO Policy Data 2017],Yes [WHO Policy Data 2017],Yes [WHO Policy Data 2017],,,,,Yes [WHO Policy Data 2020],Yes [WHO Policy Data 2020],Yes [WHO Policy Data 2018],Yes [WHO Policy Data 2017],Yes [WHO Policy Data 2020],,,Yes [WHO Policy Data 2020],,Yes [WHO Policy Data 2018],,Yes [WHO Policy Data 2020],"Yes, completed [WHO Policy Data 2018]","Yes, completed [WHO Policy Data 2017]","Yes, completed [WHO Policy Data 2017]","Yes, completed [WHO Policy Data 2017]",No threshold; treat all regardless of CD4 count [WHO Policy Data 2020],Implemented countrywide (>95% of treatment sites) [WHO Policy Data 2020],Yes [WHO Policy Data 2020],,Yes [WHO Policy Data 2019],100 [WHO Policy Data 2019],No [WHO Policy Data 2020],No [WHO Policy Data 2020],,Yes [WHO Policy Data 2019],Yes [WHO Policy Data 2020],Every 3 months [WHO Policy Data 2020],Yes [WHO Policy Data 2020],Once a month [WHO Policy Data 2020],Yes [WHO Policy Data 2020],Treat all pregnant women and/or breastfeeding women for life [WHO Policy Data 2020],TDF/3TC(FTC)/EFV [WHO Policy Data 2020],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],On-going [WHO Policy Data 2019],"Yes, rapid initiation within 7 days of HIV diagnosis [WHO Policy Data 2020]",Yes [WHO Policy Data 2020],"Yes, partially adopted [WHO Policy Data 2020]",,,,
Argentina,Yes [WHO Policy Data 2017],Yes [WHO Policy Data 2017],Yes [WHO Policy Data 2017],Yes [WHO Policy Data 2017],,,,,Yes [WHO Policy Data 2020],,Yes [WHO Policy Data 2020],Yes [WHO Policy Data 2020],,,Yes [WHO Policy Data 2020],Yes [WHO Policy Data 2020],,Yes [WHO Policy Data 2019],Yes [WHO Policy Data 2019],Yes [WHO Policy Data 2019],"Yes, completed [WHO Policy Data 2018]",On-going [WHO Policy Data 2017],"Yes, completed [WHO Policy Data 2017]",On-going [WHO Policy Data 2017],No threshold; treat all regardless of CD4 count [WHO Policy Data 2020],Implemented countrywide (>95% of treatment sites) [WHO Policy Data 2019],Yes [WHO Policy Data 2019],No planned year [WHO Policy Data 2019],No [WHO Policy Data 2019],1 [WHO Policy Data 2019],No [WHO Policy Data 2020],No [WHO Policy Data 2020],,No [WHO Policy Data 2019],Yes [WHO Policy Data 2020],Every 6 months [WHO Policy Data 2020],Yes [WHO Policy Data 2020],Every 3 months [WHO Policy Data 2020],Yes [WHO Policy Data 2020],Treat all pregnant women and/or breastfeeding women for life [WHO Policy Data 2020],Other [WHO Policy Data 2020],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],Integrated in some health facilities [UNAIDS National Commitments and Policy Instrument 2019],"Yes, completed [WHO Policy Data 2020]","Yes, rapid initiation within 7 days of HIV diagnosis [WHO Policy Data 2020]",Yes [WHO Policy Data 2020],No [WHO Policy Data 2020],Implemented in many (50%‒95%) treatment sites [WHO Policy Data 2019],Implemented in few (<50%) treatment sites [WHO Policy Data 2020],Yes [WHO Policy Data 2020],Countrywide (>95% of sites) [WHO Policy Data 2020]
Armenia,Yes [WHO Policy Data 2017],Yes [WHO Policy Data 2017],Yes [WHO Policy Data 2017],,,,,,Yes [WHO Policy Data 2020],,,,,,,,Yes [WHO Policy Data 2020],,,Yes [WHO Policy Data 2020],On-going [WHO Policy Data 2018],On-going [WHO Policy Data 2017],On-going [WHO Policy Data 2017],On-going [WHO Policy Data 2017],No threshold; treat all regardless of CD4 count [WHO Policy Data 2020],Implemented countrywide (>95% of treatment sites) [WHO Policy Data 2020],Yes [WHO Policy Data 2018],Recommending treat all later in 2017 [WHO Policy Data 2017],No [WHO Policy Data 2019],0 [WHO Policy Data 2019],No [WHO Policy Data 2020],No [WHO Policy Data 2020],,Yes [WHO Policy Data 2019],Yes [WHO Policy Data 2020],Every 6 months [WHO Policy Data 2020],Yes [WHO Policy Data 2020],Every 3 months [WHO Policy Data 2020],Yes [WHO Policy Data 2020],Treat all pregnant women and/or breastfeeding women for life [WHO Policy Data 2020],TDF/3TC(FTC)/EFV [WHO Policy Data 2020],Fully integrated in all health facilities [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Fully integrated in all health facilities [UNAIDS National Commitments and Policy Instrument 2019],Fully integrated in all health facilities [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Fully integrated in all health facilities [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Fully integrated in all health facilities [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2017],Delivered separately [UNAIDS National Commitments and Policy Instrument 2017],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Fully integrated in all health facilities [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2017],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],Delivered separately [UNAIDS National Commitments and Policy Instrument 2019],On-going [WHO Policy Data 2019],No [WHO Policy Data 2020],Yes [WHO Policy Data 2020],No [WHO Policy Data 2020],,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,No threshold; treat all regardless of CD4 count [WHO Policy Data 2019],Implemented countrywide (>95% of treatment sites) [WHO Policy Data 2019],,,,,,,,,,,,,,Treat all pregnant women and/or breastfeeding women for life [WHO Policy Data 2019],,,,,,,,,,,,,,,,,,,,,,,,,,,
