"ANO","REGIAO","INFECCOES"
"2000","Africa","83.22690756961111"
"2000","Americas","13.880966368633258"
"2000","Eastern Mediterranean","4.698251233311068"
"2000","Europe","9.03314850433369"
"2000","South-East Asia","40.89844598781578"
"2000","Western Pacific","12.827239877996766"
"2001","Africa","83.86857099020123"
"2001","Americas","14.448462179612113"
"2001","Eastern Mediterranean","5.099667016375496"
"2001","Europe","8.648036723573831"
"2001","South-East Asia","40.06032131744853"
"2001","Western Pacific","13.236548304741527"
"2002","Africa","83.49893129867158"
"2002","Americas","13.906104855107435"
"2002","Eastern Mediterranean","5.293661908251257"
"2002","Europe","8.8410364513237"
"2002","South-East Asia","38.542534942754145"
"2002","Western Pacific","13.225021468509004"
"2003","Africa","84.0725234952546"
"2003","Americas","14.167064850329423"
"2003","Eastern Mediterranean","5.501906633522912"
"2003","Europe","9.276899031834805"
"2003","South-East Asia","38.159422616129675"
"2003","Western Pacific","12.178656488038687"
"2004","Africa","86.09890719994183"
"2004","Americas","14.48082556821125"
"2004","Eastern Mediterranean","5.361723271960571"
"2004","Europe","9.378055971666221"
"2004","South-East Asia","36.93109329465641"
"2004","Western Pacific","12.158483311942076"
"2005","Africa","87.68129524775314"
"2005","Americas","15.135373280379083"
"2005","Eastern Mediterranean","6.382892259343379"
"2005","Europe","8.793973820027363"
"2005","South-East Asia","35.55382969020216"
"2005","Western Pacific","12.120896437973022"
"2006","Africa","91.81597208910893"
"2006","Americas","15.492875510018195"
"2006","Eastern Mediterranean","5.931586523452857"
"2006","Europe","8.323346010391607"
"2006","South-East Asia","34.67773389603687"
"2006","Western Pacific","10.969449121962954"
"2007","Africa","92.15701023181104"
"2007","Americas","16.138614563320168"
"2007","Eastern Mediterranean","5.956531705576391"
"2007","Europe","7.998175626655701"
"2007","South-East Asia","33.11757519041306"
"2007","Western Pacific","10.644521326499024"
"2008","Africa","90.87421964117313"
"2008","Americas","17.15698490095853"
"2008","Eastern Mediterranean","7.398759242726004"
"2008","Europe","7.785403839442514"
"2008","South-East Asia","31.08106782304983"
"2008","Western Pacific","10.251454472318423"
"2009","Africa","90.24577550617366"
"2009","Americas","16.614593725731346"
"2009","Eastern Mediterranean","7.765262914306323"
"2009","Europe","7.743642781518744"
"2009","South-East Asia","29.250317704113506"
"2009","Western Pacific","10.167297932727914"
"2010","Africa","89.17300456550558"
"2010","Americas","18.29429001100758"
"2010","Eastern Mediterranean","7.522421415229279"
"2010","Europe","7.655289212939483"
"2010","South-East Asia","27.90223751914268"
"2010","Western Pacific","10.346738810251004"
"2011","Africa","86.86870919940726"
"2011","Americas","18.830870279146144"
"2011","Eastern Mediterranean","7.32295566502463"
"2011","Europe","7.642786769880367"
"2011","South-East Asia","26.45648604269294"
"2011","Western Pacific","11.374149659863946"
"2012","Africa","86.23477652915426"
"2012","Americas","19.706179226810665"
"2012","Eastern Mediterranean","7.95941555755346"
"2012","Europe","8.017054511558127"
"2012","South-East Asia","25.850197553607906"
"2012","Western Pacific","11.524048011712171"
"2013","Africa","81.7465887329752"
"2013","Americas","19.7999897046781"
"2013","Eastern Mediterranean","9.037833138471685"
"2013","Europe","8.516866486333164"
"2013","South-East Asia","23.785299937044698"
"2013","Western Pacific","11.605135353898731"
"2014","Africa","81.97193570190132"
"2014","Americas","21.36974671930151"
"2014","Eastern Mediterranean","9.662738644489504"
"2014","Europe","8.820711745863823"
"2014","South-East Asia","23.354589712696033"
"2014","Western Pacific","11.972729142789973"
"2015","Africa","79.34187926773072"
"2015","Americas","21.99100256471125"
"2015","Eastern Mediterranean","10.196007242632856"
"2015","Europe","8.95437979137866"
"2015","South-East Asia","21.420691773839945"
"2015","Western Pacific","12.058864013118129"
"2016","Africa","79.81061270929847"
"2016","Americas","22.373038311222"
"2016","Eastern Mediterranean","11.139773307450291"
"2016","Europe","9.232640216648592"
"2016","South-East Asia","21.011862596983054"
"2016","Western Pacific","12.488951297948232"
"2017","Africa","75.87130108407675"
"2017","Americas","21.86304980666374"
"2017","Eastern Mediterranean","11.596798254782922"
"2017","Europe","8.706444072367969"
"2017","South-East Asia","19.00419381124863"
"2017","Western Pacific","12.636012411389663"
"2018","Africa","74.97356438275948"
"2018","Americas","22.628245182824383"
"2018","Eastern Mediterranean","14.330426705526406"
"2018","Europe","8.895559960556914"
"2018","South-East Asia","17.89791689804142"
"2018","Western Pacific","13.263722986847338"
"2019","Africa","72.43312990863225"
"2019","Americas","17.704455592462544"
"2019","Eastern Mediterranean","15.671734946861077"
"2019","Europe","9.000723439600673"
"2019","South-East Asia","16.28010194351497"
"2019","Western Pacific","14.299138334575842"
