country,policyId,isNumeric,value,numericValue
Afghanistan,P1,False,"Yes, partially",
Afghanistan,P2,False,No,
Afghanistan,P3,False,Yes,
Afghanistan,P4,False,No,
Afghanistan,P5,False,No,
Afghanistan,P6,False,No,
Afghanistan,P7,False,No,
Afghanistan,P8,False,No,
Afghanistan,P9,False,"Yes, policies exists and are consistently implemented",
Afghanistan,P10,False,"Yes, policies exists and are consistently implemented",
Afghanistan,P11,False,"Yes, at scale",
Afghanistan,P12,False,No,
Afghanistan,P13,False,No,
Afghanistan,P14,False,No,
Afghanistan,P15,False,No,
Afghanistan,P16,False,"Yes, for adolescents younger than 14 years",
Afghanistan,P17,False,No,
Afghanistan,P18,False,No,
Afghanistan,P19,False,Fully integrated in all health facilities,
Afghanistan,P20,False,Delivered separately,
Afghanistan,P21,False,Fully integrated in all health facilities,
Afghanistan,P22,False,Fully integrated in all health facilities,
Afghanistan,P23,False,Delivered separately,
Afghanistan,P24,False,Delivered separately,
Afghanistan,P25,False,Delivered separately,
Afghanistan,P26,False,Delivered separately,
Afghanistan,P27,False,Fully integrated in all health facilities,
Afghanistan,P28,False,Delivered separately,
Afghanistan,P29,False,Delivered separately,
Afghanistan,P30,False,Delivered separately,
Afghanistan,P31,False,Delivered separately,
Afghanistan,P32,False,Integrated in some health facilities,
Afghanistan,P33,False,Delivered separately,
Afghanistan,P34,False,Delivered separately,
Afghanistan,P35,False,Delivered separately,
Afghanistan,P36,False,Delivered separately,
Afghanistan,P37,False,"Yes, a stand-alone AIDS strategy or policy",
Afghanistan,P38,False,No,
Afghanistan,P39,False,No,
Afghanistan,P40,False,Yes,
Afghanistan,P41,False,No,
Afghanistan,P44,False,"Yes, completed",
Afghanistan,P45,False,"Yes, rapid initiation within 7 days of HIV diagnosis",
Afghanistan,P46,False,Yes,
Afghanistan,P47,False,"Yes, fully adopted",
Afghanistan,P48,False,Implemented countrywide,
Afghanistan,P49,False,Yes,
Afghanistan,P50,False,No,
Afghanistan,P53,False,No,
Afghanistan,P54,False,Countrywide,
Albania,P1,False,"Yes, partially",
Albania,P2,False,No,
Albania,P3,False,Yes,
Albania,P4,False,No,
Albania,P5,False,No,
Albania,P6,False,Yes,
Albania,P7,False,Yes,
Albania,P8,False,No,
Albania,P9,False,"Yes, policies exists and are consistently implemented",
Albania,P10,False,"Yes, policies exists and are consistently implemented",
Albania,P11,False,"Yes, on a small scale",
Albania,P12,False,Yes,
Albania,P13,False,No,
Albania,P15,False,"Yes, for adolescents younger than 18 years",
Albania,P16,False,"Yes, for adolescents younger than 18 years",
Albania,P17,False,No,
Albania,P18,False,No,
Albania,P19,False,Delivered separately,
Albania,P20,False,Delivered separately,
Albania,P21,False,Delivered separately,
Albania,P22,False,Delivered separately,
Albania,P23,False,Fully integrated in all health facilities,
Albania,P24,False,Fully integrated in all health facilities,
Albania,P25,False,Delivered separately,
Albania,P26,False,Delivered separately,
Albania,P27,False,Delivered separately,
Albania,P28,False,Delivered separately,
Albania,P29,False,Delivered separately,
Albania,P30,False,Delivered separately,
Albania,P31,False,Delivered separately,
Albania,P32,False,Integrated in some health facilities,
Albania,P33,False,Delivered separately,
Albania,P34,False,Delivered separately,
Albania,P35,False,Delivered separately,
Albania,P36,False,Delivered separately,
Albania,P37,False,"Yes, a stand-alone AIDS strategy or policy",
Albania,P38,False,Yes,
Albania,P39,False,Yes,
Albania,P40,False,No,
Albania,P41,False,Yes,
Albania,P44,False,"Yes, completed",
Albania,P45,False,"Yes, rapid initiation within 7 days of HIV diagnosis",
Albania,P47,False,"Yes, fully adopted",
Albania,P48,False,Implemented countrywide,
Albania,P49,False,No,
Albania,P54,False,Other,
Algeria,P1,False,"Yes, partially",
Algeria,P2,False,No,
Algeria,P3,False,Yes,
Algeria,P4,False,No,
Algeria,P5,False,No,
Algeria,P6,False,No,
Algeria,P7,False,No,
Algeria,P8,False,No,
Algeria,P9,False,"Yes, policies exists and are consistently implemented",
Algeria,P10,False,"Yes, policies exists and are consistently implemented",
Algeria,P11,False,"Yes, at scale",
Algeria,P12,False,No,
Algeria,P13,False,No,
Algeria,P14,False,"Yes, for adolescents younger than 18 years",
Algeria,P15,False,"Yes, for adolescents younger than 18 years",
Algeria,P16,False,"Yes, for adolescents younger than 18 years",
Algeria,P17,False,No,
Algeria,P18,False,No,
Algeria,P19,False,Fully integrated in all health facilities,
Algeria,P20,False,Delivered separately,
Algeria,P21,False,Integrated in some health facilities,
Algeria,P22,False,Fully integrated in all health facilities,
Algeria,P23,False,Fully integrated in all health facilities,
Algeria,P24,False,Fully integrated in all health facilities,
Algeria,P25,False,Delivered separately,
Algeria,P26,False,Delivered separately,
Algeria,P27,False,Integrated in some health facilities,
Algeria,P28,False,Delivered separately,
Algeria,P29,False,Delivered separately,
Algeria,P30,False,Delivered separately,
Algeria,P31,False,Fully integrated in all health facilities,
Algeria,P32,False,Fully integrated in all health facilities,
Algeria,P33,False,Fully integrated in all health facilities,
Algeria,P34,False,Fully integrated in all health facilities,
Algeria,P35,False,Fully integrated in all health facilities,
Algeria,P36,False,Delivered separately,
Algeria,P37,False,"Yes, a stand-alone AIDS strategy or policy",
Algeria,P38,False,Yes,
Algeria,P39,False,No,
Algeria,P40,False,No,
Algeria,P41,False,Yes,
Algeria,P42,False,No,
Algeria,P43,False,No,
Andorra,P2,False,No,
Angola,P1,False,"Yes, partially",
Angola,P2,False,Yes,
Angola,P4,False,No,
Angola,P5,False,No,
Angola,P6,False,No,
Angola,P7,False,No,
Angola,P8,False,No,
Angola,P10,False,"Yes, policies exist but are not consistently implemented",
Angola,P11,False,"Yes, as one-off activities",
Angola,P12,False,Yes,
Angola,P15,False,"Yes, for adolescents younger than 18 years",
Angola,P16,False,"Yes, for adolescents younger than 18 years",
Angola,P17,False,No,
Angola,P18,False,No,
Angola,P19,False,Fully integrated in all health facilities,
Angola,P20,False,Fully integrated in all health facilities,
Angola,P21,False,Integrated in some health facilities,
Angola,P22,False,Integrated in some health facilities,
Angola,P23,False,Integrated in some health facilities,
Angola,P24,False,Integrated in some health facilities,
Angola,P25,False,Integrated in some health facilities,
Angola,P26,False,Integrated in some health facilities,
Angola,P27,False,Fully integrated in all health facilities,
Angola,P28,False,Fully integrated in all health facilities,
Angola,P29,False,Integrated in some health facilities,
Angola,P30,False,Integrated in some health facilities,
Angola,P31,False,Integrated in some health facilities,
Angola,P32,False,Fully integrated in all health facilities,
Angola,P33,False,Integrated in some health facilities,
Angola,P34,False,Fully integrated in all health facilities,
Angola,P35,False,Integrated in some health facilities,
Angola,P36,False,Integrated in some health facilities,
Angola,P37,False,"Yes, a stand-alone AIDS strategy or policy",
Angola,P38,False,Yes,
Angola,P39,False,Yes,
Angola,P40,False,No,
Angola,P44,False,On-going,
Angola,P45,False,"Yes, rapid initiation within 7 days of HIV diagnosis",
Angola,P46,False,Yes,
Angola,P47,False,"Yes, fully adopted",
Angola,P48,False,Implemented in many  treatment sites,
Angola,P49,False,Yes,
Angola,P52,False,No,
Angola,P53,False,No,
Angola,P54,False,In few  sites,
Antigua and Barbuda,P1,False,"Yes, partially",
Antigua and Barbuda,P2,False,No,
Antigua and Barbuda,P3,False,Yes,
Antigua and Barbuda,P4,False,No,
Antigua and Barbuda,P5,False,No,
Antigua and Barbuda,P6,False,No,
Antigua and Barbuda,P7,False,No,
Antigua and Barbuda,P8,False,No,
Antigua and Barbuda,P9,False,"Yes, policies exists and are consistently implemented",
Antigua and Barbuda,P10,False,"Yes, policies exists and are consistently implemented",
Antigua and Barbuda,P11,False,"Yes, on a small scale",
Antigua and Barbuda,P12,False,No,
Antigua and Barbuda,P13,False,No,
Antigua and Barbuda,P14,False,"Yes, for adolescents younger than 18 years",
Antigua and Barbuda,P15,False,"Yes, for adolescents younger than 14 years",
Antigua and Barbuda,P16,False,"Yes, for adolescents younger than 14 years",
Antigua and Barbuda,P17,False,No,
Antigua and Barbuda,P18,False,No,
Antigua and Barbuda,P19,False,Integrated in some health facilities,
Antigua and Barbuda,P20,False,Delivered separately,
Antigua and Barbuda,P21,False,Delivered separately,
