source,target
DZA,TUN
DZA,NER
DZA,MAR
DZA,MRT
DZA,MLI
DZA,LBY
AGO,ZMB
AGO,NAM
AGO,COG
AGO,COD
ARG,URY
ARG,PRY
ARG,CHL
ARG,BRA
ARG,BOL
ARM,TUR
ARM,IRN
ARM,GEO
ARM,AZE
AUT,CHE
AUT,SVN
AUT,SVK
AUT,ITA
AUT,HUN
AUT,DEU
AUT,CZE
AZE,TUR
AZE,RUS
AZE,IRN
AZE,GEO
BGD,MMR
BGD,IND
BLR,RUS
BLR,LVA
BLR,UKR
BLR,LTU
BLR,POL
BLZ,GTM
BLZ,MEX
BEN,BFA
BEN,NGA
BEN,TGO
BEN,NER
BTN,IND
BTN,CHN
BOL,CHL
BOL,BRA
BOL,PER
BOL,PRY
BIH,MNE
BIH,SRB
BIH,HRV
BWA,ZMB
BWA,ZAF
BWA,NAM
BWA,ZWE
BRA,GUY
BRA,URY
BRA,SUR
BRA,PRY
BRA,COL
BRA,VEN
BRA,FRA
BRA,PER
BRN,MYS
BGR,TUR
BGR,SRB
BGR,ROU
BGR,MKD
BGR,GRC
BFA,MLI
BFA,NER
BFA,TGO
BFA,GHA
BFA,CIV
BDI,RWA
BDI,TZA
BDI,COD
KHM,LAO
KHM,THA
KHM,VNM
CMR,COG
CMR,TCD
CMR,GNQ
CMR,NGA
CMR,GAB
CMR,CAF
TCD,NGA
TCD,CAF
TCD,SDN
TCD,NER
TCD,LBY
CHL,PER
CHN,NPL
CHN,LAO
CHN,PAK
CHN,KAZ
CHN,VNM
CHN,IND
CHN,AFG
CHN,MNG
CHN,PRK
CHN,MMR
CHN,TJK
CHN,KGZ
CHN,RUS
COL,PER
COL,ECU
COL,VEN
COL,PAN
COG,GAB
COG,CAF
COG,COD
CRI,PAN
CRI,NIC
HRV,SVN
HRV,SRB
HRV,HUN
HRV,MNE
CYP,GBR
CZE,POL
CZE,SVK
CZE,DEU
CIV,LBR
CIV,GIN
CIV,GHA
CIV,MLI
PRK,RUS
PRK,KOR
COD,CAF
COD,RWA
COD,SSD
COD,ZMB
COD,TZA
COD,UGA
DNK,DEU
DOM,HTI
EGY,ISR
EGY,SDN
EGY,LBY
SLV,GTM
SLV,HND
GNQ,GAB
EST,RUS
EST,LVA
FIN,RUS
FIN,NOR
FIN,SWE
FRA,ESP
FRA,ITA
FRA,NLD
FRA,CHE
FRA,DEU
FRA,SUR
FRA,BEL
FRA,LUX
GMB,SEN
GEO,TUR
GEO,RUS
DEU,BEL
DEU,LUX
DEU,POL
DEU,NLD
DEU,CHE
GHA,TGO
GRC,TUR
GRC,ALB
GRC,MKD
GTM,MEX
GTM,HND
GIN,SEN
GIN,MLI
GIN,GNB
GIN,SLE
GIN,LBR
HND,NIC
HUN,ROU
HUN,UKR
HUN,SVN
HUN,SVK
HUN,SRB
IND,NPL
IND,PAK
IND,MMR
IDN,PNG
IDN,TLS
IDN,MYS
IRN,TKM
IRN,PAK
IRN,AFG
IRN,TUR
IRL,GBR
ITA,SVN
ITA,CHE
JOR,SAU
JOR,SYR
JOR,ISR
KAZ,UZB
KAZ,TKM
KAZ,KGZ
KAZ,RUS
KEN,ETH
KEN,TZA
KEN,SSD
KEN,UGA
KEN,SOM
KWT,SAU
KGZ,TJK
KGZ,UZB
LAO,MMR
LAO,VNM
LAO,THA
LVA,RUS
LVA,LTU
LBN,ISR
LBN,SYR
LBR,SLE
LBY,TUN
LBY,SDN
LBY,NER
LTU,RUS
LTU,POL
LUX,BEL
MLI,MRT
MLI,SEN
MLI,NER
MRT,SEN
MEX,USA
MAR,ESP
MOZ,ZAF
MOZ,ZWE
MOZ,MWI
MOZ,SWZ
MOZ,TZA
MOZ,ZMB
MMR,THA
NAM,ZMB
NAM,ZAF
NLD,BEL
NER,NGA
NOR,SWE
NOR,RUS
OMN,SAU
OMN,ARE
OMN,YEM
PAK,AFG
PER,ECU
POL,RUS
POL,UKR
POL,SVK
PRT,ESP
QAT,SAU
MDA,UKR
MDA,ROU
ROU,UKR
ROU,SRB
RUS,UKR
RUS,MNG
RWA,TZA
RWA,UGA
SAU,ARE
SAU,YEM
SEN,GNB
SRB,MNE
SRB,MKD
SVK,UKR
SOM,ETH
SOM,DJI
ZAF,ZWE
ZAF,LSO
ZAF,SWZ
SUR,GUY
SYR,ISR
SYR,TUR
TJK,AFG
TJK,UZB
THA,MYS
MKD,ALB
TKM,AFG
TKM,UZB
UGA,SSD
UGA,TZA
GBR,ESP
TZA,MWI
TZA,ZMB
USA,CAN
VEN,GUY
ZMB,MWI
ZMB,ZWE
MNE,ALB
SSD,SDN
SSD,CAF
SSD,ETH
AFG,UZB
CAF,SDN
DJI,ETH
DJI,ERI
ERI,SDN
ERI,ETH
ETH,SDN
