region,year,min,nominal,max
GLOBAL,1990,1400000.0,1900000.0,2600000.0
GLOBAL,1991,1600000.0,2200000.0,2900000.0
GLOBAL,1992,1800000.0,2400000.0,3200000.0
GLOBAL,1993,1900000.0,2500000.0,3400000.0
GLOBAL,1994,2000000.0,2700000.0,3700000.0
GLOBAL,1995,2000000.0,2700000.0,3700000.0
GLOBAL,1996,2000000.0,2700000.0,3700000.0
GLOBAL,1997,2000000.0,2800000.0,3700000.0
GLOBAL,1998,2000000.0,2800000.0,3700000.0
GLOBAL,1999,2000000.0,2800000.0,3700000.0
GLOBAL,2000,2000000.0,2700000.0,3700000.0
GLOBAL,2001,1900000.0,2600000.0,3500000.0
GLOBAL,2002,1900000.0,2600000.0,3500000.0
GLOBAL,2003,1800000.0,2500000.0,3300000.0
GLOBAL,2004,1800000.0,2400000.0,3300000.0
GLOBAL,2005,1800000.0,2400000.0,3200000.0
GLOBAL,2006,1700000.0,2300000.0,3200000.0
GLOBAL,2007,1700000.0,2300000.0,3100000.0
GLOBAL,2008,1700000.0,2200000.0,3000000.0
GLOBAL,2009,1600000.0,2200000.0,3000000.0
GLOBAL,2010,1600000.0,2100000.0,2900000.0
GLOBAL,2011,1500000.0,2100000.0,2800000.0
GLOBAL,2012,1500000.0,2000000.0,2700000.0
GLOBAL,2013,1400000.0,2000000.0,2600000.0
GLOBAL,2014,1400000.0,1900000.0,2600000.0
GLOBAL,2015,1400000.0,1900000.0,2500000.0
GLOBAL,2016,1300000.0,1800000.0,2400000.0
GLOBAL,2017,1300000.0,1800000.0,2400000.0
GLOBAL,2018,1200000.0,1700000.0,2300000.0
GLOBAL,2019,1200000.0,1700000.0,2200000.0
AGO,2000,12000.0,15000.0,18000.0
ARG,2000,5200.0,6200.0,7400.0
AUS,2000,,650.0,900.0
AZE,2000,580.0,1400.0,2800.0
BEN,2000,3000.0,6200.0,12000.0
BOL,2000,1200.0,1800.0,2600.0
BWA,2000,23000.0,26000.0,28000.0
BRA,2000,24000.0,51000.0,74000.0
BFA,2000,8400.0,10000.0,12000.0
BDI,2000,6900.0,8200.0,9800.0
KHM,2000,9800.0,11000.0,12000.0
CMR,2000,50000.0,58000.0,69000.0
CAF,2000,11000.0,13000.0,16000.0
TCD,2000,7700.0,9900.0,12000.0
CHL,2000,2000.0,2300.0,2600.0
