country,neighbour
DZA,LBY
DZA,MLI
DZA,MRT
DZA,MAR
DZA,NER
DZA,TUN
AGO,COD
AGO,COG
AGO,NAM
AGO,ZMB
ARG,BOL
ARG,BRA
ARG,CHL
ARG,PRY
ARG,URY
ARM,AZE
ARM,GEO
ARM,IRN
ARM,TUR
AUT,CZE
AUT,DEU
AUT,HUN
AUT,ITA
AUT,SVK
AUT,SVN
AUT,CHE
AZE,ARM
AZE,GEO
AZE,IRN
AZE,RUS
AZE,TUR
BGD,IND
BGD,MMR
BLR,LVA
BLR,LTU
BLR,POL
BLR,RUS
BLR,UKR
BLZ,GTM
BLZ,MEX
BEN,BFA
BEN,NER
BEN,NGA
BEN,TGO
BTN,CHN
BTN,IND
BOL,ARG
BOL,BRA
BOL,CHL
BOL,PRY
BOL,PER
BIH,HRV
BIH,MNE
BIH,SRB
BWA,NAM
BWA,ZAF
BWA,ZMB
BWA,ZWE
BRA,ARG
BRA,BOL
BRA,COL
BRA,FRA
BRA,GUY
BRA,PRY
BRA,PER
BRA,SUR
BRA,URY
BRA,VEN
BRN,MYS
BGR,GRC
BGR,MKD
BGR,ROU
BGR,SRB
BGR,TUR
BFA,BEN
BFA,CIV
BFA,GHA
BFA,MLI
BFA,NER
BFA,TGO
BDI,COD
BDI,RWA
BDI,TZA
KHM,LAO
KHM,THA
KHM,VNM
CMR,CAF
CMR,TCD
CMR,COG
CMR,GNQ
CMR,GAB
CMR,NGA
TCD,CMR
TCD,CAF
TCD,LBY
TCD,NER
TCD,NGA
TCD,SDN
CHL,ARG
CHL,BOL
CHL,PER
CHN,AFG
CHN,BTN
CHN,IND
CHN,KAZ
CHN,PRK
CHN,KGZ
CHN,LAO
CHN,MNG
CHN,MMR
CHN,NPL
CHN,PAK
CHN,RUS
CHN,TJK
CHN,VNM
COL,BRA
COL,ECU
COL,PAN
COL,PER
COL,VEN
COG,AGO
COG,CMR
COG,CAF
COG,COD
COG,GAB
CRI,NIC
CRI,PAN
HRV,BIH
HRV,HUN
HRV,MNE
HRV,SRB
HRV,SVN
CYP,GBR
CZE,AUT
CZE,DEU
CZE,POL
CZE,SVK
CIV,BFA
CIV,GHA
CIV,GIN
CIV,LBR
CIV,MLI
PRK,CHN
PRK,KOR
PRK,RUS
COD,AGO
COD,BDI
COD,CAF
COD,COG
COD,RWA
COD,SSD
COD,TZA
COD,UGA
COD,ZMB
DNK,DEU
DOM,HTI
EGY,ISR
EGY,LBY
EGY,SDN
SLV,GTM
SLV,HND
GNQ,CMR
GNQ,GAB
EST,LVA
EST,RUS
FIN,NOR
FIN,SWE
FIN,RUS
FRA,BEL
FRA,BRA
FRA,DEU
FRA,ITA
FRA,LUX
FRA,NLD
FRA,ESP
FRA,SUR
FRA,CHE
GAB,CMR
GAB,COG
GAB,GNQ
GMB,SEN
GEO,ARM
GEO,AZE
GEO,RUS
GEO,TUR
DEU,AUT
DEU,BEL
DEU,CZE
DEU,DNK
DEU,FRA
DEU,LUX
DEU,NLD
DEU,POL
DEU,CHE
GHA,BFA
GHA,CIV
GHA,TGO
GRC,ALB
GRC,BGR
GRC,TUR
GRC,MKD
GTM,BLZ
GTM,SLV
GTM,HND
GTM,MEX
GIN,CIV
GIN,GNB
GIN,LBR
GIN,MLI
GIN,SEN
GIN,SLE
HTI,DOM
HND,GTM
HND,SLV
HND,NIC
HUN,AUT
HUN,HRV
HUN,ROU
HUN,SRB
HUN,SVK
HUN,SVN
HUN,UKR
IND,BGD
IND,BTN
IND,CHN
IND,MMR
IND,NPL
IND,PAK
IDN,TLS
IDN,MYS
IDN,PNG
IRN,AFG
IRN,ARM
IRN,AZE
IRN,PAK
IRN,TUR
IRN,TKM
IRL,GBR
ITA,AUT
ITA,FRA
ITA,SVN
ITA,CHE
JOR,ISR
JOR,SAU
JOR,SYR
KAZ,CHN
KAZ,KGZ
KAZ,RUS
KAZ,TKM
KAZ,UZB
KEN,ETH
KEN,SOM
KEN,SSD
KEN,TZA
KEN,UGA
KWT,SAU
KGZ,CHN
KGZ,KAZ
KGZ,TJK
KGZ,UZB
LAO,KHM
LAO,CHN
LAO,MMR
LAO,THA
LAO,VNM
LVA,BLR
LVA,EST
LVA,LTU
LVA,RUS
LBN,ISR
LBN,SYR
LBR,GIN
LBR,CIV
LBR,SLE
LBY,DZA
LBY,TCD
LBY,EGY
LBY,NER
LBY,SDN
LBY,TUN
LTU,BLR
LTU,LVA
LTU,POL
LTU,RUS
LUX,BEL
LUX,FRA
LUX,DEU
MLI,DZA
MLI,BFA
MLI,CIV
MLI,GIN
MLI,MRT
MLI,NER
MLI,SEN
MRT,DZA
MRT,MLI
MRT,SEN
MEX,BLZ
MEX,GTM
MEX,USA
MAR,DZA
MAR,ESP
MOZ,MWI
MOZ,ZAF
MOZ,SWZ
MOZ,TZA
MOZ,ZMB
MOZ,ZWE
MMR,BGD
MMR,CHN
MMR,IND
MMR,LAO
MMR,THA
NAM,AGO
NAM,BWA
NAM,ZAF
NAM,ZMB
NPL,CHN
NPL,IND
NLD,BEL
NLD,DEU
NLD,FRA
