"REGIAO","National strategy/policy guiding AIDS response","QUANTIDADE","Porcentagem de países"
"Africa","Yes, a stand-alone AIDS strategy or policy ","34","75.55555555555556"
"Africa","No","1","2.2222222222222223"
"Africa","Yes, a health strategy or policy that integrates the AIDS response ","6","13.333333333333334"
"Europe","Yes, a stand-alone AIDS strategy or policy ","18","36.0"
"Europe","No","1","2.0"
"Europe","Yes, a health strategy or policy that integrates the AIDS response ","6","12.0"
"Western Pacific","Yes, a stand-alone AIDS strategy or policy ","8","53.333333333333336"
"Western Pacific","No","2","13.333333333333334"
"Western Pacific","Yes, a health strategy or policy that integrates the AIDS response ","3","20.0"
"Americas","Yes, a health strategy or policy that integrates the AIDS response ","11","37.93103448275862"
"Americas","Yes, a stand-alone AIDS strategy or policy ","15","51.724137931034484"
"Eastern Mediterranean","Yes, a stand-alone AIDS strategy or policy ","12","60.0"
"Eastern Mediterranean","No","2","10.0"
"Eastern Mediterranean","Yes, a health strategy or policy that integrates the AIDS response ","2","10.0"
"South-East Asia","Yes, a health strategy or policy that integrates the AIDS response ","2","18.181818181818183"
"South-East Asia","Yes, a stand-alone AIDS strategy or policy ","5","45.45454545454545"
