label,name,region,infections,communityId
AUS,Australia,Western Pacific,1000.0,4
BHS,Bahamas,Americas,-1,7
BHR,Bahrain,Eastern Mediterranean,-1,8
BRB,Barbados,Americas,-1,10
CPV,Cabo Verde,Africa,-1,25
COM,Comoros,Africa,-1,30
CUB,Cuba,Americas,2200.0,34
ARM,Armenia,Europe,-1,53
AZE,Azerbaijan,Europe,690.0,53
GEO,Georgia,Europe,-1,53
IRN,Iran,Eastern Mediterranean,4400.0,53
TUR,Turkey,Europe,-1,53
DOM,Dominican Republic,Americas,2900.0,56
HTI,Haiti,Americas,7200.0,56
BLZ,Belize,Americas,-1,57
CRI,Costa Rica,Americas,870.0,57
SLV,El Salvador,Americas,1100.0,57
GTM,Guatemala,Americas,1300.0,57
HND,Honduras,Americas,1100.0,57
MEX,Mexico,Americas,-1,57
NIC,Nicaragua,Americas,-1,57
PAN,Panama,Americas,-1,57
USA,United States of America,Americas,39000.0,57
CAN,Canada,Americas,-1,57
ISL,Iceland,Europe,-1,59
JAM,Jamaica,Americas,1800.0,65
BGD,Bangladesh,South-East Asia,-1,70
BTN,Bhutan,South-East Asia,-1,70
KHM,Cambodia,Western Pacific,1200.0,70
CHN,China,Western Pacific,-1,70
IND,India,South-East Asia,-1,70
KAZ,Kazakhstan,Europe,3100.0,70
KGZ,Kyrgyzstan,Europe,970.0,70
LAO,Lao People's Democratic Republic,Western Pacific,900.0,70
MMR,Myanmar,South-East Asia,13000.0,70
NPL,Nepal,South-East Asia,1100.0,70
PAK,Pakistan,Eastern Mediterranean,19000.0,70
TJK,Tajikistan,Europe,1400.0,70
THA,Thailand,South-East Asia,9500.0,70
TKM,Turkmenistan,Europe,-1,70
VNM,Viet Nam,Western Pacific,9600.0,70
AFG,Afghanistan,Eastern Mediterranean,1100.0,70
MNG,Mongolia,Western Pacific,-1,70
UZB,Uzbekistan,Europe,4500.0,70
BLR,Belarus,Europe,2300.0,72
PRK,Democratic People's Republic of Korea,South-East Asia,-1,72
EST,Estonia,Europe,-1,72
FIN,Finland,Europe,-1,72
LVA,Latvia,Europe,-1,72
LTU,Lithuania,Europe,-1,72
NOR,Norway,Europe,-1,72
POL,Poland,Europe,-1,72
KOR,Republic of Korea,Western Pacific,-1,72
RUS,Russian Federation,Europe,-1,72
SWE,Sweden,Europe,-1,72
MDG,Madagascar,Africa,4400.0,78
MDV,Maldives,South-East Asia,-1,79
MLT,Malta,Europe,-1,81
MUS,Mauritius,Africa,620.0,83
NZL,New Zealand,Western Pacific,-1,91
ARG,Argentina,Americas,6100.0,92
BOL,Bolivia,Americas,1100.0,92
BRA,Brazil,Americas,50000.0,92
CHL,Chile,Americas,4900.0,92
COL,Colombia,Americas,12000.0,92
PRY,Paraguay,Americas,1200.0,92
PER,Peru,Americas,3900.0,92
SUR,Suriname,Americas,-1,92
URY,Uruguay,Americas,-1,92
VEN,Venezuela,Americas,6000.0,92
ECU,Ecuador,Americas,2700.0,92
GUY,Guyana,Americas,-1,92
DZA,Algeria,Africa,1800.0,94
CMR,Cameroon,Africa,23000.0,94
TCD,Chad,Africa,6000.0,94
COG,Congo,Africa,7200.0,94
GNQ,Equatorial Guinea,Africa,4600.0,94
GAB,Gabon,Africa,2100.0,94
KEN,Kenya,Africa,54000.0,94
LBY,Libya,Eastern Mediterranean,630.0,94
NER,Niger,Africa,1400.0,94
NGA,Nigeria,Africa,100000.0,94
SOM,Somalia,Eastern Mediterranean,-1,94
TUN,Tunisia,Eastern Mediterranean,600.0,94
SSD,South Sudan,Africa,18000.0,94
